index,model,error_type,true,rf_prob,gnn_prob,smiles,MW,logP,TPSA,HBD,HBA,nRotB,nHetero,nRing,FractionCSP3
47,RF,FP,0,0.706,0.99516076,CC[N+](C)(CC)CCOC(=O)C1C2:C:C:C:C:C:2OC2:C:C:C:C:C:21,340.4430000000001,3.953800000000003,35.53,0.0,3.0,6.0,4.0,3.0,0.38095238095238093
48,RF,FP,0,0.536,0.25975898,COC1:C:C:C:N:C:1CCCCNC1:N:C:C(CC2:C:C:C(C):N:C:2):C(=O):[NH]:1.[Cl-].[Cl-].[Cl-].[H+].[H+].[H+],488.8469999999999,-5.747980000000001,92.78999999999999,2.0,6.0,9.0,10.0,3.0,0.3333333333333333
49,RF,FP,0,0.84,0.97541285,ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C(Cl):C:1,416.1350000000001,6.454800000000002,27.05,0.0,2.0,6.0,7.0,3.0,0.16666666666666666
51,RF,FP,0,0.906,0.93142,OCC1:C:C:C:N:C:1,109.12799999999999,0.5739,33.120000000000005,1.0,2.0,1.0,2.0,1.0,0.16666666666666666
56,RF,FP,0,0.656,0.09600417,CC1:C:C:C(CC2:C:N:C(NCCCCC3:N:C:C(Br):C:C:3C):[NH]:C:2=O):C:N:1,442.3610000000001,3.9648400000000024,83.56,2.0,5.0,8.0,7.0,3.0,0.3333333333333333
61,RF,FP,0,0.792,0.016527286,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@@H]21,416.58300000000025,4.852300000000005,60.44,0.0,5.0,1.0,5.0,5.0,0.7916666666666666
64,RF,FP,0,0.56,0.9930583,NC1:N:C(=S):C2:[NH]:C:N:C:2:[NH]:1,167.197,0.5976899999999998,83.38,3.0,4.0,0.0,6.0,2.0,0.0
65,RF,FP,0,0.536,0.9907795,NC1:N:C(N):C2:N:C(C3:C:C:C:C:C:3):C(N):N:C:2:N:1,253.26900000000003,0.8334000000000001,129.62,3.0,7.0,1.0,7.0,3.0,0.0
66,RF,FP,0,0.626,0.99754673,COC1:C:C:C(CCN(C)CCCC(C#N)(C2:C:C:C(OC):C(OC):C:2)C(C)C):C:C:1OC,454.6110000000002,5.093080000000005,63.95,0.0,6.0,13.0,6.0,2.0,0.5185185185185185
68,RF,FP,0,0.852,0.99931073,O=C(CC1:C:C:C(Cl):C(Cl):C:1)N1CCC2:[NH]:C:N:C:2[C@H]1CN1CCCC1,393.3180000000002,3.480800000000002,52.230000000000004,1.0,3.0,4.0,7.0,4.0,0.47368421052631576
69,RF,FP,0,0.74,0.99720275,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCC4:C(:[NH]:C5:C:C:C:C:C:4:5)[C@@H]3C[C@@H]21,354.45000000000005,2.647100000000001,65.56,2.0,4.0,1.0,5.0,5.0,0.5714285714285714
70,RF,FP,0,0.652,0.9878099,CC1:C:N([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2):C(=O):[NH]:C:1=O,267.245,-0.19628000000000012,133.07999999999998,2.0,5.0,3.0,9.0,2.0,0.6
85,RF,FP,0,0.868,0.98844564,NCCC1:N:C(C2:C:C:C:C:C:2):C:S:1,204.298,2.3113,38.91,1.0,3.0,3.0,3.0,2.0,0.18181818181818182
7,RF,FN,1,0.008,0.004960395,CN1:N:N:N:C:1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)C3:C:C:C:C:C:3)[C@H]2SC1,462.5130000000001,-0.2255999999999989,150.54,3.0,9.0,7.0,13.0,4.0,0.3333333333333333
9,RF,FN,1,0.108,0.12268601,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2,324.4240000000001,3.1732000000000014,45.59,1.0,4.0,4.0,4.0,5.0,0.45
57,RF,FN,1,0.086,0.0061783656,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3:C:C:C:C:C:3)CS[C@H]12)C1:C:S:C(N):N:1)C(=O)O,546.5870000000002,-1.2991999999999946,191.22,3.0,11.0,9.0,15.0,4.0,0.3181818181818182
58,RF,FN,1,0.21,0.07325587,COC1:C:C([C@@H]2C3:C:C4:C(:C:C:3[C@@H](OC3OC5COC(C6:C:C:C:S:6)OC5C(O)C3O)[C@H]3COC(=O)[C@H]23)OCO4):C:C(OC):C:1O,656.6620000000001,2.752900000000001,160.83,3.0,14.0,6.0,14.0,8.0,0.46875
136,RF,FN,1,0.322,0.064294316,C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)C1:C:C:C:C:C:1)C2,305.374,1.9434999999999996,69.59,1.0,4.0,4.0,5.0,3.0,0.5882352941176471
148,RF,FN,1,0.458,0.48458284,COCC1:C(C(C)C):N:C(C(C)C):C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O):C:1C1:C:C:C(F):C:C:1,459.5580000000002,4.8807000000000045,99.88000000000001,3.0,5.0,11.0,7.0,2.0,0.46153846153846156
210,RF,FN,1,0.46,0.99430084,C=C1CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,372.4610000000002,1.7236999999999996,94.83,3.0,5.0,2.0,5.0,4.0,0.6363636363636364
239,RF,FN,1,0.41,0.78053516,CC(C)[C@H](N)C(=O)OCC(CO)OCN1:C:N:C2:C(=O):N:C(N):[NH]:C:2:1,354.3670000000001,-1.4366999999999974,171.37,4.0,9.0,8.0,11.0,2.0,0.5714285714285714
271,RF,FN,1,0.494,0.9983051,C=C1CC2C3C=CC4=CC(=O)CCC4(C)C3C(O)CC2(C)[C@@]1(O)C(=O)CO,372.4610000000001,1.7236999999999996,94.83,3.0,5.0,2.0,5.0,4.0,0.6363636363636364
5,GNN,FP,0,0.694,0.92727286,CC(=O)NC1:C:C:C:C(C2:C:S:C(N=C(N)N):N:2):C:1,275.337,1.6733999999999998,106.39,3.0,4.0,3.0,7.0,2.0,0.08333333333333333
14,GNN,FP,0,0.612,0.9027228,CN(C)CC1:C:C:C(CSCCNC2N=CC=C2[N+](=O)[O-]):O:1,324.40600000000006,1.7351,83.91,1.0,7.0,9.0,8.0,2.0,0.5
22,GNN,FP,0,0.752,0.92767674,COC1:C:C:C(CCN2CCC(NC3:N:C4:C:C:C:C:C:4:N:3CC3:C:C:C(F):C:C:3)CC2):C:C:1,458.58100000000024,5.351300000000005,42.32,1.0,4.0,8.0,6.0,5.0,0.32142857142857145
23,GNN,FP,0,0.676,0.8430405,CC(C)(C)NCC(O)COC1:C:C:C:C2:C:1CCC(=O)N2,292.37899999999996,1.6990999999999998,70.58999999999999,3.0,4.0,5.0,5.0,2.0,0.5625
27,GNN,FP,0,0.664,0.99019974,COC1:C:C(NCC2:C:C:C3:N:C(N):N:C(N):C:3:C:2C):C:C(OC):C:1OC,369.4250000000001,2.740520000000001,117.54,3.0,8.0,6.0,8.0,3.0,0.2631578947368421
32,GNN,FP,0,0.864,0.80948704,ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C:C:1,381.69000000000005,5.801400000000003,27.05,0.0,2.0,6.0,6.0,3.0,0.16666666666666666
36,GNN,FP,0,0.63,0.54547477,O=C1:[NH]:C(=O):N([C@H]2C[C@H](O)[C@@H](CO)O2):C:C:1F,246.194,-1.6836,104.55000000000001,3.0,5.0,2.0,8.0,2.0,0.5555555555555556
37,GNN,FP,0,0.546,0.6555737,NC1:N:C(=O):C2:N:C:N(COC(CO)CO):C:2:[NH]:1,255.23399999999998,-1.970899999999999,139.28000000000003,4.0,7.0,5.0,9.0,2.0,0.4444444444444444
40,GNN,FP,0,0.686,0.9978847,NNC1:N:N:C:C2:C:C:C:C:C:1:2,160.17999999999998,0.9153999999999998,63.83,2.0,4.0,1.0,4.0,2.0,0.0
43,GNN,FP,0,0.83,0.994311,NNC(=O)C1:C:C:N:C:C:1,137.142,-0.3149000000000006,68.00999999999999,2.0,3.0,1.0,4.0,1.0,0.0
44,GNN,FP,0,0.594,0.9995265,CC(C)[N+](C)(CCOC(=O)C1C2:C:C:C:C:C:2OC2:C:C:C:C:C:21)C(C)C.[Br-],448.4010000000001,1.7348,35.53,0.0,3.0,6.0,5.0,3.0,0.43478260869565216
47,GNN,FP,0,0.706,0.99516076,CC[N+](C)(CC)CCOC(=O)C1C2:C:C:C:C:C:2OC2:C:C:C:C:C:21,340.4430000000001,3.953800000000003,35.53,0.0,3.0,6.0,4.0,3.0,0.38095238095238093
49,GNN,FP,0,0.84,0.97541285,ClC1:C:C:C(COC(CN2:C:C:N:C:2)C2:C:C:C(Cl):C:C:2Cl):C(Cl):C:1,416.1350000000001,6.454800000000002,27.05,0.0,2.0,6.0,7.0,3.0,0.16666666666666666
51,GNN,FP,0,0.906,0.93142,OCC1:C:C:C:N:C:1,109.12799999999999,0.5739,33.120000000000005,1.0,2.0,1.0,2.0,1.0,0.16666666666666666
64,GNN,FP,0,0.56,0.9930583,NC1:N:C(=S):C2:[NH]:C:N:C:2:[NH]:1,167.197,0.5976899999999998,83.38,3.0,4.0,0.0,6.0,2.0,0.0
65,GNN,FP,0,0.536,0.9907795,NC1:N:C(N):C2:N:C(C3:C:C:C:C:C:3):C(N):N:C:2:N:1,253.26900000000003,0.8334000000000001,129.62,3.0,7.0,1.0,7.0,3.0,0.0
66,GNN,FP,0,0.626,0.99754673,COC1:C:C:C(CCN(C)CCCC(C#N)(C2:C:C:C(OC):C(OC):C:2)C(C)C):C:C:1OC,454.6110000000002,5.093080000000005,63.95,0.0,6.0,13.0,6.0,2.0,0.5185185185185185
68,GNN,FP,0,0.852,0.99931073,O=C(CC1:C:C:C(Cl):C(Cl):C:1)N1CCC2:[NH]:C:N:C:2[C@H]1CN1CCCC1,393.3180000000002,3.480800000000002,52.230000000000004,1.0,3.0,4.0,7.0,4.0,0.47368421052631576
69,GNN,FP,0,0.74,0.99720275,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCC4:C(:[NH]:C5:C:C:C:C:C:4:5)[C@@H]3C[C@@H]21,354.45000000000005,2.647100000000001,65.56,2.0,4.0,1.0,5.0,5.0,0.5714285714285714
70,GNN,FP,0,0.652,0.9878099,CC1:C:N([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2):C(=O):[NH]:C:1=O,267.245,-0.19628000000000012,133.07999999999998,2.0,5.0,3.0,9.0,2.0,0.6
85,GNN,FP,0,0.868,0.98844564,NCCC1:N:C(C2:C:C:C:C:C:2):C:S:1,204.298,2.3113,38.91,1.0,3.0,3.0,3.0,2.0,0.18181818181818182
90,GNN,FP,0,0.288,0.62494004,O=C(CC1:C:C:C(Cl):C(Cl):C:1)N1CCC2:[NH]:C:N:C:2[C@H]1CN1CC[C@@H](O)C1,409.3170000000002,2.4516,72.46000000000001,2.0,4.0,4.0,8.0,4.0,0.47368421052631576
7,GNN,FN,1,0.008,0.004960395,CN1:N:N:N:C:1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)C3:C:C:C:C:C:3)[C@H]2SC1,462.5130000000001,-0.2255999999999989,150.54,3.0,9.0,7.0,13.0,4.0,0.3333333333333333
9,GNN,FN,1,0.108,0.12268601,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)C1:C:C:N:C2:C:C:C(OC):C:C:1:2,324.4240000000001,3.1732000000000014,45.59,1.0,4.0,4.0,4.0,5.0,0.45
17,GNN,FN,1,0.842,0.3723094,O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2)=NC1O,286.718,2.4479,61.69,2.0,3.0,1.0,5.0,3.0,0.06666666666666667
21,GNN,FN,1,0.612,0.46161103,OC(CN1:C:N:C:N:1)(CN1:C:N:C:N:1)C1:C:C:C(F):C:C:1F,306.276,0.7357999999999993,81.64999999999999,1.0,5.0,5.0,9.0,3.0,0.23076923076923078
26,GNN,FN,1,0.66,0.0073760306,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,318.5010000000001,4.595200000000005,37.3,1.0,2.0,1.0,2.0,4.0,0.9523809523809523
57,GNN,FN,1,0.086,0.0061783656,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3:C:C:C:C:C:3)CS[C@H]12)C1:C:S:C(N):N:1)C(=O)O,546.5870000000002,-1.2991999999999946,191.22,3.0,11.0,9.0,15.0,4.0,0.3181818181818182
58,GNN,FN,1,0.21,0.07325587,COC1:C:C([C@@H]2C3:C:C4:C(:C:C:3[C@@H](OC3OC5COC(C6:C:C:C:S:6)OC5C(O)C3O)[C@H]3COC(=O)[C@H]23)OCO4):C:C(OC):C:1O,656.6620000000001,2.752900000000001,160.83,3.0,14.0,6.0,14.0,8.0,0.46875
59,GNN,FN,1,0.552,0.49869254,NC1:N:C:N:C2:C:1:N:C:N:2C1OC(CO)C(O)C1O,267.245,-1.9800000000000006,139.54000000000002,4.0,8.0,2.0,9.0,3.0,0.5
75,GNN,FN,1,0.744,0.05421314,CN1C2CCC1CC(OC(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1)C2.O=S(=O)(O)O,405.51600000000013,3.7650000000000023,87.07000000000001,2.0,4.0,4.0,7.0,4.0,0.42857142857142855
94,GNN,FN,1,0.862,0.47347373,O=C1NC2:C:C:C(Cl):C:C:2C(C2:C:C:C:C:C:2Cl)=NC1O,321.163,3.1013000000000015,61.69,2.0,3.0,1.0,6.0,3.0,0.06666666666666667
136,GNN,FN,1,0.322,0.064294316,C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)C1:C:C:C:C:C:1)C2,305.374,1.9434999999999996,69.59,1.0,4.0,4.0,5.0,3.0,0.5882352941176471
137,GNN,FN,1,0.84,0.49281868,NC1:C:C:C(S(=O)(=O)N2CC3CCC(CC3)C2):C:C:1,280.3929999999999,2.0795000000000003,63.400000000000006,1.0,3.0,2.0,5.0,4.0,0.5714285714285714
144,GNN,FN,1,0.564,0.033395987,CC(NCCN1:C:N:C2:C:1:C(=O):N(C):C(=O):N:2C)C(O)C1:C:C:C:C:C:1,357.41400000000004,0.14540000000000047,94.08,2.0,5.0,6.0,8.0,3.0,0.3888888888888889
146,GNN,FN,1,0.596,0.38686526,CCCCC1(CCOC(N)=O)C(=O)NC(=O)NC1=O,271.27299999999997,0.014399999999999913,127.59,3.0,5.0,6.0,8.0,1.0,0.6363636363636364
148,GNN,FN,1,0.458,0.48458284,COCC1:C(C(C)C):N:C(C(C)C):C(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O):C:1C1:C:C:C(F):C:C:1,459.5580000000002,4.8807000000000045,99.88000000000001,3.0,5.0,11.0,7.0,2.0,0.46153846153846156
159,GNN,FN,1,0.836,0.0533966,OC(C1=NCCN1)(C1:C:C:C(Cl):C:C:1)C1:C:C:C:C:N:1,287.75,1.9725999999999997,57.510000000000005,2.0,4.0,3.0,5.0,3.0,0.2
225,GNN,FN,1,0.578,0.03715316,CCC(=O)N1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2C2:C:C:C3:C:C:C(Cl):N:C:3:N:2)CC1,520.0360000000002,3.338300000000002,95.94000000000001,0.0,8.0,3.0,12.0,5.0,0.4090909090909091
226,GNN,FN,1,0.662,0.09059257,CN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2C2:C:C:C3:C:C:C(Cl):N:C:3:N:2)CC1,477.9990000000002,3.031500000000001,78.87,0.0,8.0,2.0,11.0,5.0,0.4
231,GNN,FN,1,0.534,0.14527087,CN1C2:C:C:C:C:C:2C(NCCCCCCC(=O)O)C2:C:C:C(Cl):C:C:2S1(=O)=O,436.96100000000007,4.192600000000003,86.71000000000001,2.0,4.0,8.0,8.0,3.0,0.38095238095238093
258,GNN,FN,1,0.666,0.28823653,O=C1C(O)N=C(C2:C:C:C:C:C:2F)C2:C:C(Cl):C:C:C:2N1CCO,348.7610000000001,1.9738000000000002,73.13,2.0,4.0,3.0,7.0,3.0,0.17647058823529413
